template_key,product_name,volume_ml,category,price,variant_count,template_id
7DZE - 7Daze (LIQ FB)(100mL) Fusion TFN|100.0,7DZE - 7Daze (LIQ FB)(100mL) Fusion TFN,100.0,All / Saleable / E-Juice,5.75,42,TPL_0000
7DZE - 7Daze (LIQ FB)(100mL) Reds/Keep It 100|100.0,7DZE - 7Daze (LIQ FB)(100mL) Reds/Keep It 100,100.0,All / Saleable / E-Juice,5.75,5,TPL_0001
7DZE - 7Daze (LIQ FB)(100mL) Reds|100.0,7DZE - 7Daze (LIQ FB)(100mL) Reds,100.0,All / Saleable / E-Juice,5.75,40,TPL_0002
7DZE - 7Daze (LIQ FB)(100mL) TF-Nic|100.0,7DZE - 7Daze (LIQ FB)(100mL) TF-Nic,100.0,All / Saleable / E-Juice,5.75,3,TPL_0003
7DZE - 7Daze (LIQ FB)(60mL) Reds|60.0,7DZE - 7Daze (LIQ FB)(60mL) Reds,60.0,All / Saleable / E-Juice,1.3166666666666667,3,TPL_0004
7DZE - 7Daze (LIQ FB)(60mL) TF-Nic|60.0,7DZE - 7Daze (LIQ FB)(60mL) TF-Nic,60.0,All / Saleable / E-Juice,0.95,1,TPL_0005
7DZE - 7Daze (LIQ Salt)(30mL) Fusion TFN|30.0,7DZE - 7Daze (LIQ Salt)(30mL) Fusion TFN,30.0,All / Saleable / E-Juice,4.75,26,TPL_0006
7DZE - 7Daze (LIQ Salt)(30mL) LIQmate|30.0,7DZE - 7Daze (LIQ Salt)(30mL) LIQmate,30.0,All / Saleable / E-Juice,4.4,19,TPL_0007
7DZE - 7Daze (LIQ Salt)(30mL) Reds/Keep It 100|30.0,7DZE - 7Daze (LIQ Salt)(30mL) Reds/Keep It 100,30.0,All / Saleable / E-Juice,4.75,6,TPL_0008
7DZE - 7Daze (LIQ Salt)(30mL) Reds|30.0,7DZE - 7Daze (LIQ Salt)(30mL) Reds,30.0,All / Saleable / E-Juice,4.668181818181818,22,TPL_0009
7DZE - 7Daze (LIQ Salt)(30mL) TF-Nic|30.0,7DZE - 7Daze (LIQ Salt)(30mL) TF-Nic,30.0,All / Saleable / E-Juice,4.75,2,TPL_0010
